index,acronym,name,depth,parent_structure_id
15639,ENp,periventricular stratum of the retina,10,15638
15640,ON,outer nuclear layer (photoreceptor layer),11,15639
15641,OPL,outer plexiform layer,11,15639
15642,ENi,intermediate stratum of the retina,10,15638
15643,Hor,horizontal cell layer,11,15642
15644,Bi,bipolar cell layer,11,15642
15645,Mu,Mueller cell layer,11,15642
15646,Acr,amacrine cell layer,11,15642
15647,IPL,inner plexiform layer,11,15642
15648,ENs,superficial stratum of the retina,10,15638
15649,GCL,ganglion cell layer,11,15648
15650,GC,ganglion cells,12,15649
15651,IAcr,inverted amacrine cells,12,15649
15652,OF,optic fiber layer,11,15648
15653,TSPaA,terminal subparaventricular area of THyA,6,15623
15654,TSPaAv,ventricular zone of TSPaA,9,15653
15655,TSPaAm,mantle zone of TSPaA,9,15653
15656,TSPaAp,periventricular stratum of TSPaA,10,15655
15657,SCHp,"suprachiasmatic nucleus, periventricular part",11,15656
15658,TSPa,terminal subparaventricular area,11,15656
15659,TSPaAi,intermediate stratum of TSPaA,10,15655
15660,SCH,suprachiasmatic nucleus,11,15659
15661,SCHc,core of SCH,12,15660
15662,AH,anterior hypothalamic nucleus,11,15659
15663,TSPaAs,superficial stratum of TSPaA,10,15655
15664,SCHs,shell of SCH,12,15663
15665,TC,tuber cinereum area,11,15663
15666,THyB,basal part of terminal hypothalamus,5,15622
15667,THyB-D,dorsal part of THyB,6,15666
15668,THyB-Dv,ventricular zone of THyB-D,9,15667
15669,THyB-Dm,mantle zone of THyB-D,9,15667
15670,THyB-Dp,periventricular stratum of THyB-D,10,15669
15671,ABasp,periventricular part of the anterobasal nucleus,11,15670
15672,VMHp,periventricular domain associated to VMH,11,15670
15673,THyB-Di,intermediate stratum of THyB-D,10,15669
15674,ABasc,core part of the anterobasal nucleus,11,15673
15675,VMH,ventromedial hypothalamic nucleus,11,15673
15676,VMHdm,dorsomedial part of VMH,12,15675
15677,VMHce,central part of VMH,12,15675
15678,VMHvl,ventrolateral part of VMH,12,15675
15679,VMHsh,shell of VMH,12,15675
15680,THyB-Ds,superficial stratum of THyB-D,10,15669
15681,ABass,shell part of the anterobasal nucleus,11,15680
15682,SbO,suboptic nucleus,11,15680
15683,Tu,tuberal nucleus,11,15680
15684,THyB-I,intermediate part of THyB,6,15666
15685,THyB-Iv,ventricular zone of THyB-I,9,15684
15686,THyB-Im,mantle zone of THyB-I,9,15684
15687,THyB-Ip,periventricular stratum of THyB-I,10,15686
15688,Arcp,periventricular part of the arcuate nucleus,11,15687
15689,ME,median eminence,11,15687
15690,Inf,infundibulum,11,15687
15691,NHy,neurohypophysis,11,15687
15692,T-DMHp,periventricular domain associated to T-DMH,11,15687
15693,THyB-Ii,intermediate stratum of THyB-I,10,15686
15694,T-DMH,"dorsomedial nucleus, terminal part",11,15693
15695,T-DMHc,core of T-DMH,12,15694
15696,T-DMHs,shell of T-DMH,12,15694
15697,Arci,intermediate part of the arcuate nucleus,11,15693
15698,PMV,ventral premammillary nucleus (migrated),11,15693
15699,THyB-Is,superficial stratum of THyB-I,10,15686
15700,Arcs,superficial part of arcuate nucleus,11,15699
15701,MTu,medial tuberal nucleus,11,15699
15702,THyB-V,ventral part of THyB,6,15666
15703,THyB-Vv,ventricular zone of THyB-V,9,15702
15704,T-HVO,"hypothalamic ventricular organ, terminal part",11,15703
15705,THyB-Vm,mantle zone of THyB-V,9,15702
15706,THyB-Vp,periventricular stratum of THyB-V,10,15705
15707,VTMp,"ventral tuberomammillary nucleus, pervientricular part (histaminergic)",11,15706
15708,THyB-Vi,intermediate stratum of THyB-V,10,15705
15709,VTMi,"ventral tuberomammillary nucleus, intermediate part (histaminergic)",11,15708
15710,THyB-Vs,superficial stratum of THyB-V,10,15705
15711,VTMs,"ventral tuberomammillary nucleus, superficial part (histaminergic)",11,15710
15712,THyB-P,perimammillary part of THyB,6,15666
15713,THyB-Pv,ventricular zone of THyB-P,9,15712
15714,MRO,mammillary recess organ,11,15713
15715,THyB-Pm,mantle zone of THyB-P,9,15712
15716,THyB-Pp,periventricular stratum of THyB-P,10,15715
15717,PPeM,periventricular perimammillary area,11,15716
15718,THyB-Pi,intermediate stratum of THyB-P,10,15715
15719,PMD,dorsal premammillary nucleus,11,15718
15720,THyB-Ps,superficial stratum of THyB-P,10,15715
15721,Te,terete nucleus,11,15720
15722,THyB-M,mammillary part of THyB,6,15666
15723,Mam,mammillary area,8,15722
15724,Mamv,ventricular zone of Mam,9,15723
15725,Mamm,mantle zone of Mam,9,15723
15726,Mamp,periventricular stratum of Mam,10,15725
15727,MnM,median mammillary nucleus,11,15726
15728,Mami,intermediate stratum of Mam,10,15725
15729,MM,medial mammillary nucleus,11,15728
15730,MMm,medial part of MM,12,15729
15731,MMl,lateral part of MM,12,15729
15732,MMp,posterior part of MM,12,15729
15733,Mams,superficial stratum of Mam,10,15725
15734,LM,lateral mammillary nucleus,11,15733
15735,VTMm,"ventral tuberomammillary nucleus, migrated part (histaminergic)",11,15733
15736,THyF,floor of terminal hypothalamus,5,15622
15737,MamF,mammillary floor,6,15736
15738,CSP,caudal secondary prosencephalon,3,15567
15739,Tel,telencephalic vesicle,4,15738
15740,TelR,roof plate of evaginated telencephalic vesicle,5,15739
15741,CSCom,caudal septocommissural area,8,15740
15742,CSComv,ventricular zone of CSCom,9,15741
15743,SFOe,"subfornical organ, circumventricular ependymal specialization",11,15742
15744,CSComm,mantle zone of CSCom,9,15741
15745,CSComp,periventricular stratum of CSCom,10,15744
15746,SFOp,"subfornical organ, periventricular part",11,15745
15747,CSComi,intermediate stratum of CSCom,10,15744
15748,CSComs,superficial stratum of CSCom,10,15744
15749,TCh,telencephalic choroidal formation,6,15740
15750,TelA,alar plate of evaginated telencephalic vesicle,5,15739
15751,SPall,subpallium,6,15750
111220534,SPallv,ventricular zone of SPall,9,15751
111220536,SPallm,mantle zone of SPall,9,15751
15752,SeSPall,subpallial septum,7,15751
15753,DgSe,diagonal part of septum,8,15752
15754,DgSev,ventricular zone of DgSe,9,15753
15755,DgSem,mantle zone of DgSe,9,15753
15756,DgSep,periventricular stratum of DgSe,10,15755
15757,LSV,"lateral septal nucleus, ventral part",11,15756
15758,MnSC,median supracommissural nucleus,11,15756
15759,DgSei,intermediate stratum of DgSe,10,15755
15760,LSIV,"lateral septal nucleus, intermedio-ventral part",11,15759
15761,SHy,septohypothalamic nucleus,11,15759
15762,DgSes,superficial stratum of DgSe,10,15755
15763,VDB,vertical nucleus of the diagonal band,11,15762
15764,MS,medial septal nucleus,11,15762
15765,PalSe,pallidal septum,8,15752
15766,PalSev,ventricular zone of PalSe,9,15765
15767,PalSem,mantle zone of PalSe,9,15765
15768,PalSep,periventricular stratum of PalSe,10,15767
15769,LSIp,"lateral septal nucleus, intermediate part, periventricular",11,15768
15770,PalSei,intermediate stratum of PalSe,10,15767
15771,LSII,"lateral septal nucleus, intermedio-intermediate part",11,15770
15772,Ld,lambdoid septal zone,11,15770
15773,PalSes,superficial stratum of PalSe,10,15767
15774,StrSe,striatal septum,8,15752
15775,StrSev,ventricular zone of StrSe,9,15774
15776,StrSem,mantle zone of StrSe,9,15774
15777,StrSep,periventricular part of StrSe,10,15776
15778,LSD,"lateral septal nucleus, dorsal part",11,15777
15779,TS,triangular septal nucleus,11,15777
15780,SFi,septofimbrial nucleus,11,15777
15781,StrSei,intermediate part of StrSe,10,15776
15782,LSID,"lateral septal nucleus, intermedio-dorsal part",11,15781
15783,StrSes,superficial part of StrSe,10,15776
15784,PaSe,paraseptal subpallium,7,15751
15785,SeDg,septodiagonal transition area,8,15784
15786,SeDgv,ventricular zone of SeDg,9,15785
15787,SeDgm,mantle zone of SeDg,9,15785
15788,SeDgp,periventricular stratum of SeDg,10,15787
15789,BSTMS,"bed nucleus of the stria terminalis, medioseptal division",11,15788
15790,BSTMv,"nucleus of the stria terminalis, medial division, ventral part",12,15789
15791,BSTMa,"nucleus of the stria terminalis, medial division, anterior part",12,15789
15792,SeDgi,intermediate stratum of SeDg,10,15787
15793,SIBT,"substantia innominata/basal nucleus, transitional part",11,15792
15794,BAC,bed nucleus of the anterior commissure,11,15792
15795,SeDgs,superficial stratum of SeDg,10,15787
15796,HDBT,"horizontal nucleus of the diagonal band, transitional part",11,15795
15797,SePal,septopallidal transition area,8,15784
15798,SePalv,ventricular zone of SePal,9,15797
15799,SePalm,mantle zone of SePal,9,15797
15800,SePalp,periventricular stratum of SePal,10,15799
15801,BSTLS,"bed nucleus of the stria terminalis, lateroseptal division",11,15800
15802,BSTLi,"nucleus of the stria terminalis, lateral division, intermediate part",12,15801
15803,SePali,intermediate stratum of SePal,10,15799
15804,SePalCo,septopallidal core nucleus,11,15803
15805,SePalSh,septopallidal shell area,11,15803
15806,SePals,superficial stratum of SePal,10,15799
15807,TuSePal,septopallidal part of the olfactory tuberculum,11,15806
15808,ICjM,island of Calleja major,11,15806
15809,SeStr,septostriatal transition area (accumbens),8,15784
15810,SeStrv,ventricular zone of SeStr,9,15809
15811,SeStrm,mantle zone of SeStr,9,15809
15812,SeStrp,periventricular stratum of SeStr,10,15811
15813,AcbCo,"accumbens nucleus, core domain",11,15812
15814,SeStri,intermediate stratum of SeStr,10,15811
15815,AcbSh,"accumbens nucleus, shell domain",11,15814
15816,SeStrs,superficial stratum of SeStr,10,15811
15817,TuSeStr,septostriatal part of the olfactory tuberculum,11,15816
15818,CSPall,central subpallium (classic basal ganglia),7,15751
111220538,CSPallv,ventricular zone of CSPall,9,15818
111220540,CSPallm,mantle zone of CSPall,9,15818
111220542,CSPallp,periventricular stratum of CSPall,10,111220540
111220544,CSPalli,intermediate stratum of CSPall,10,111220540
111220546,CSPalls,superficial stratum of CSPall,10,111220540
15819,Dg,diagonal domain,8,15818
15820,Dgv,ventricular zone of Dg,9,15819
15821,Dgm,mantle zone of Dg,9,15819
15822,Dgp,periventricular stratum of Dg,10,15821
15823,BSTMC,"bed nucleus of the stria terminalis, mediocentral division",11,15822
15824,BSTMpm,posteromedial part of BSTMC,12,15823
15825,BSTMpi,posterointermediate part of BSTMC,12,15823
15826,BSTMpl,posterolateral part of BSTMC,12,15823
15827,EADg,"extended amygdala, diagonal part",11,15822
15828,Dgi,intermediate stratum of Dg,10,15821
15829,SIB,substantia innominata/basal nucleus,11,15828
15830,IPal,internal globus pallidus,11,15828
15831,Dgs,superficial stratum of Dg,10,15821
15832,HDB,horizontal nucleus of the diagonal band,11,15831
15833,MCDB,magnocellular diagonal band nucleus,11,15831
15834,Pal,pallidum (globus pallidus complex),8,15818
15835,Palv,ventricular zone of Pal,9,15834
15836,Palm,mantle zone of Pal,9,15834
15837,Palp,periventricular stratum of Pal,10,15836
15838,BSTLC,"bed nucleus of the stria terminalis, laterocentral division",11,15837
15839,BSTLp,posterior part of BSTLC,12,15838
15840,BSTLj,juxtacapsular part of BSTLC,12,15838
15841,BSTLd,dorsal part of BSTLC,12,15838
15842,Pali,intermediate stratum of Pal,10,15836
15843,EPal,external globus pallidum,11,15842
15844,VPal,ventral pallidum,11,15842
15845,Pals,superficial stratum of Pal,10,15836
15846,TuPal,pallidal part of olfactory tuberculum,11,15845
15847,TuPal1,plexiform layer of TuPal,12,15846
15848,TuPal2,corticoid layer of TuPal,12,15846
15849,TuPal3,polymorph layer of TuPal,12,15846
15850,ICjPal,pallidal islands of Calleja,11,15845
15851,Str,striatum (corpus striatum),8,15818
15852,Strv,ventricular zone of Str,9,15851
15853,Strm,mantle zone of Str,9,15851
15854,Strp,periventricular stratum of Str,10,15853
15855,Cau,caudate nucleus,11,15854
15856,Stri,intermediate stratum of Str,10,15853
15857,Put,putamen,11,15856
15858,VStr,ventral striatum,11,15856
15859,IPAC,interstitial nucleus of the posterior limb of the anterior commissure,11,15856
15860,LSS,laterostriatal stripe,11,15856
15861,Strs,superficial stratum of Str,10,15853
15862,TuStr,striatal part of olfactory tuberculum,11,15861
15863,TuStr1,plexiform layer of TuStr,12,15862
15864,TuStr2,corticoid layer of TuStr,12,15862
15865,TuStr3,polymorph layer of TuStr,12,15862
15866,ICjStr,striatal islands of Calleja,11,15861
15867,ASPall,subpallial amygdala,7,15751
15868,AStr,striatal amygdala,8,15867
15869,AStrv,ventricular zone of AStr,9,15868
15870,AStrm,mantle zone of AStr,9,15868
15871,AStrp,periventricular stratum of AStr,10,15870
15872,ASt,amygdalo-striatal transition,11,15871
15873,AStri,intermediate stratum of AStr,10,15870
15874,CeL,"central amygdalar nucleus, lateral part",11,15873
15875,CeC,"central amygdalar nucleus, capsular part",11,15873
15876,IA,intercalated amygdaloid nuclei,11,15873
15877,AStrs,superficial stratum of AStr,10,15870
15878,APal,pallidal amygdala,8,15867
15879,APalv,ventricular zone of APal,9,15878
15880,APalm,mantle zone of APal,9,15878
15881,APalp,periventricular stratum of APal,10,15880
15882,BSTLA,"bed nucleus of stria terminalis, lateral amygdaloid division",11,15881
15883,APali,intermediate stratum of APal,10,15880
15884,CeM,"central amygdaloid nucleus, medial part",11,15883
15885,APals,superficial stratum of APal,10,15880
15886,ADg,diagonal amygdala,8,15867
15887,ADgv,ventricular zone of ADg,9,15886
15888,ADgm,mantle zone of ADg,9,15886
15889,ADgp,periventricular stratum of ADg,10,15888
15890,BSTMA,"bed nucleus of the stria terminalis, medial amygdaloid division",11,15889
15891,ADgi,intermediate stratum of ADg,10,15888
15892,ADgs,superficial stratum of ADg,10,15888
15893,AHy,hypothalamic amygdala,8,15867
15894,AHyv,ventricular zone of AHy,9,15893
15895,AHym,mantle zone of AHy,9,15893
15896,AHyp,periventricular stratum of AHy,10,15895
15897,AHyi,intermediate stratum of AHy,10,15895
15898,AHys,superficial stratum of AHy,10,15895
15899,MePD,"medial amygdala, posterodorsal part",11,15898
15900,MePV,"medial amygdala, posteroventral part",11,15898
15901,MeAD,"medial amygdala, anterodorsal part",11,15898
15902,MeAV,"medial amygdala, anteroventral part",11,15898
15903,Pall,pallium,6,15750
111220548,Pallv,ventricular zone of Pall,9,15903
111220550,Pallm,mantle zone of Pall,9,15903
15904,VPall,ventral pallium,7,15903
15905,OB,"olfactory bulb, principal part",8,15904
15906,OBv,ventricular zone of OB,9,15905
15907,OBm,mantle zone of OB,9,15905
15908,OBp,periventricular stratum of OB,10,15907
15909,OB-Gr,OB granular layer,11,15908
15910,OB-Ipl,OB inner plexiform layer,11,15908
15911,OBi,intermediate stratum of OB,10,15907
15912,OB-Mtr,OB mitral cell layer,11,15911
15913,OB-Opl,OB outer plexiform layer,11,15911
15914,OBs,superficial stratum of OB,10,15907
15915,OB-Glom,OB glomerular layer,11,15914
15916,OB-OF,OB olfactory fiber layer,11,15914
15917,AOV,"anterior olfactory area, ventral part",8,15904
15918,AOVv,ventricular zone of AOV,9,15917
15919,AOVm,mantle zone of AOV,9,15917
15920,AOVp,periventricular stratum of AOV,10,15919
15921,AOVi,intermediate stratum of AOV,10,15919
15922,AOVs,superficial stratum of AOV,10,15919
15923,AOV1,layer 1 of AOV cortex,11,15922
15924,AOV2,layer 2 of AOV cortex,11,15922
15925,AOV3,layer 3 of AOV cortex,11,15922
15926,AOVE,external part of AOV,11,15922
15927,Nv,navicular nucleus,11,15922
15928,VPrP,ventropallial prepiriform area,8,15904
15929,VPrPv,ventricular zone of VPrP,9,15928
15930,VPrPm,mantle zone of VPrP,9,15928
15931,VPrPp,periventricular stratum of VPrP,10,15930
15932,VPrPi,intermediate stratum of VPrP,10,15930
15933,BEC,bed nucleus of the external capsule,11,15932
15934,DEn,dorsal endopiriform nucleus,11,15932
15935,VEn,ventral endopiriform nucleus,11,15932
15936,VPrPs,superficial stratum of VPrP,10,15930
15937,VPrP1,layer 1 of VPrP cortex,11,15936
15938,VPrP2,layer 2 of VPrP cortex,11,15936
15939,VPrP3,layer 3 of VPrP cortex,11,15936
15940,VAP,ventropallial amygdalopiriform area,8,15904
15941,VAPv,ventricular zone of the VAP,9,15940
15942,VAPm,mantle zone of VAP,9,15940
15943,VAPp,periventricular stratum of the VAP,10,15942
15944,La,lateral amygdaloid nucleus,11,15943
15945,AHi,amygdalohippocampal area,11,15943
15946,VAPi,intermediate stratum of the VAP,10,15942
15947,BMA,"basomedial amygdaloid nucleus, anterior part",11,15946
15948,BMP,"basomedial amygdaloid nucleus, posterior part",11,15946
15949,VAPs,superficial stratum of the VAP,10,15942
15950,PMCo,posteromedial cortical amygdaloid area,11,15949
15951,LOT,nucleus of the lateral olfactory tract,11,15949
15952,LOT3,layer 3 of LOT,12,15951
15953,LOT2,layer 2 of LOT,12,15951
15954,LOT1,layer 1 of LOT,12,15951
15955,NAOT,nucleus of the accessory olfactory tract,11,15949
15956,LPall,lateral pallium,7,15903
15957,AOB,accessory olfactory bulb,8,15956
15958,AOBv,ventricular zone of AOB,9,15957
15959,AOBm,mantle zone of AOB,9,15957
15960,AOBp,periventricular stratum of AOB,10,15959
15961,AGr,"AOB, granular layer",11,15960
15962,AIPl,"AOB, internal plexiform layer",11,15960
15963,AOBi,intermediate stratum of AOB,10,15959
15964,AMtr,"AOB, mitral cell layer",11,15963
15965,AOPl,"AOB, outer plexiform layer",11,15963
15966,AOBs,superficial stratum of AOB,10,15959
15967,AGlom,"AOB, glomerular layer",11,15966
15968,AOF,"AOB, fiber layer",11,15966
15969,AOD,"anterior olfactory area, dorsal part",8,15956
15970,AODv,ventricular zone of AOD,9,15969
15971,AODm,mantle zone of AOD,9,15969
15972,AODp,periventricular stratum of AOD,10,15971
15973,AODi,intermediate stratum of AOD,10,15971
15974,AODs,superficial stratum of AOD,10,15971
15975,AOD1,layer 1 of AOD cortex,11,15974
15976,AOD2,layer 2 of AOD cortex,11,15974
15977,AOD3,layer 3 of AOD cortex,11,15974
15978,AODE,external part of AOD,11,15974
15979,LPrP,lateropallial prepiriform area,8,15956
15980,LPrPv,ventricular zone of LPrP,9,15979
15981,LPrPm,mantle zone of LPrP,9,15979
15982,LPrPp,periventricular stratum of LPrP,10,15981
15983,LPrPi,intermediate stratum of LPrP,10,15981
15984,Cl,claustrum,11,15983
15985,LPrPs,superficial stratum of LPrP,10,15981
15986,LPrP1,layer 1 of LPrP cortex,11,15985
15987,LPrP2,layer 2 of LPrP cortex,11,15985
15988,LPrP3,layer 3 of LPrP cortex,11,15985
15989,LAP,lateropallial amygdalopiriform area,8,15956
15990,LAPv,ventricular zone of LAP,9,15989
15991,LAPm,mantle zone of LAP,9,15989
15992,LAPp,periventricular stratum of LAP,10,15991
15993,LAPi,intermediate stratum of LAP,10,15991
15994,BLA,"basolateral amygdaloid nucleus, anterior part",11,15993
15995,BLP,"basolateral amygdaloid nucleus, posterior part",11,15993
15996,BLV,"basolateral amygdaloid nucleus, ventral part",11,15993
15997,LAPs,superficial stratum of LAP,10,15991
15998,APir,amygdalopiriform area,11,15997
15999,PLCo,posterolateral cortical amygdaloid area,11,15997
16000,ACo,anterior cortical amygdaloid area,11,15997
16001,DPall,dorsal pallium/isocortex,7,15903
111220552,DPallv,ventricular zone of DPall,9,16001
111220554,DPallm,mantle zone of DPall,9,16001
111220556,DPallp,periventricular stratum of DPall,10,111220554
111220558,DPalli,intermediate stratum of DPall,10,111220554
111220560,DPalls,superficial stratum of DPall,10,111220554
16002,FCx,frontal cortex,8,16001
16003,FCv,ventricular zone of FCx,9,16002
16004,FCm,mantle zone of FCx,9,16002
16005,FCp,periventricular stratum of FCx (subventricular zone),10,16004
16006,FCi,intermediate stratum of FCx (white matter/subplate),10,16004
16007,FCs,superficial stratum of FCx (cortical plate/marginal zone),10,16004
16008,FC-1,layer 1 of FCx,11,16007
16009,FC-2,layer 2 of FCx,11,16007
16010,FC-3,layer 3 of FCx,11,16007
16011,FC-4,layer 4 of FCx,11,16007
16012,FC-5,layer 5 of FCx,11,16007
16013,FC-6,layer 6 of FCx,11,16007
16014,FC-6a,sublayer 6a of FCx,12,16013
16015,FC-6b,sublayer 6b of FCx,12,16013
16016,PCx,parietal cortex,8,16001
16017,PCv,ventricular zone of PCx,9,16016
16018,PCm,mantle zone of PCx,9,16016
16019,PCp,periventricular stratum of PCx (subventricular zone),10,16018
16020,PCi,intermediate stratum of PCx (white matter/subplate),10,16018
16021,PCs,superficial stratum of PCx (cortical plate/marginal zone),10,16018
16022,PC-1,layer 1 of PCx,11,16021
16023,PC-2,layer 2 of PCx,11,16021
16024,PC-3,layer 3 of PCx,11,16021
16025,PC-4,layer 4 of PCx,11,16021
16026,PC-5,layer 5 of PCx,11,16021
16027,PC-6,layer 6 of PCx,11,16021
16028,PC-6a,sublayer 6a of PCx,12,16027
16029,PC-6b,sublayer 6b of PCx,12,16027
16030,OCx,occipital cortex,8,16001
16031,OCv,ventricular zone of OCx,9,16030
16032,OCm,mantle zone of OCx,9,16030
16033,OCp,periventricular stratum of OCx (subventricular zone),10,16032
16034,OCi,intermediate stratum of OCx (white matter/subplate),10,16032
16035,OCs,superficial stratum of OCx (cortical plate/marginal zone),10,16032
16036,OC-1,layer 1 of OCx,11,16035
16037,OC-2,layer 2 of OCx,11,16035
16038,OC-3,layer 3 of OCx,11,16035
16039,OC-4,layer 4 of OCx,11,16035
16040,OC-5,layer 5 of OCx,11,16035
16041,OC-6,layer 6 of OCx,11,16035
16042,OC-6a,sublayer 6a of OCx,12,16041
16043,OC-6b,sublayer 6b of OCx,12,16041
16044,TCx,temporal cortex,8,16001
16045,TCv,ventricular zone of TCx,9,16044
16046,TCm,mantle zone of TCx,9,16044
16047,TCp,periventricular stratum of TCx (subventricular zone),10,16046
16048,TCi,intermediate stratum of TCx (white matter/subplate),10,16046
16049,TCs,superficial stratum of TCx (cortical plate/marginal zone),10,16046
16050,TC-1,layer 1 of TCx,11,16049
16051,TC-2,layer 2 of TCx,11,16049
16052,TC-3,layer 3 of TCx,11,16049
16053,TC-4,layer 4 of TCx,11,16049
16054,TC-5,layer 5 of TCx,11,16049
16055,TC-6,layer 6 of TCx,11,16049
16056,TC-6a,sublayer 6a of TCx,12,16055
16057,TC-6b,sublayer 6b of TCx,12,16055
16058,InsCx,insular cortex,8,16001
16059,InsCv,ventricular zone of InsCx,9,16058
16060,InsCm,mantle zone of InsCx,9,16058
16061,InsCp,periventricular stratum of InsCx (subventricular zone),10,16060
16062,InsCi,intermediate stratum of InsCx (white matter/subplate),10,16060
16063,InsCs,superficial stratum of InsCx (cortical plate/marginal zone),10,16060
16064,InsC-1,layer 1 of InsCx,11,16063
16065,InsC-2,layer 2 of InsCx,11,16063
16066,InsC-3,layer 3 of InsCx,11,16063
16067,InsC-4,layer 4 of InsCx,11,16063
16068,InsC-5,layer 5 of InsCx,11,16063
16069,InsC-6,layer 6 of InsCx,11,16063
16070,InsC-6a,sublayer 6a of InsCx,12,16069
16071,InsC-6b,sublayer 6b of InsCx,12,16069
16072,CCx,cingulate cortex,8,16001
16073,CCv,ventricular zone of CCx,9,16072
16074,CCm,mantle zone of CCx,9,16072
16075,CCp,periventricular stratum of CCx (subventricular zone),10,16074
16076,CCi,intermediate stratum of CCx (white matter/subplate),10,16074
16077,CCs,superficial stratum of CCx (cortical plate/marginal zone),10,16074
16078,CC-1,layer 1 of CCx,11,16077
16079,CC-2,layer 2 of CCx,11,16077
16080,CC-3,layer 3 of CCx,11,16077
16081,CC-4,layer 4 of CCx,11,16077
16082,CC-5,layer 5 of CCx,11,16077
16083,CC-6,layer 6 of CCx,11,16077
16084,CC-6a,sublayer 6a of CCx,12,16083
16085,CC-6b,sublayer 6b of CCx,12,16083
16086,PERCx,perirhinal-ectorhinal cortex,8,16001
16087,PRh-Ect-1,layer 1 of PRh-Ect,11,16086
16088,PRh-Ect-2,layer 2 of PRh-Ect,11,16086
16089,PRh-Ect-3,layer 3 of PRh-Ect,11,16086
16090,PRh-Ect-4,layer 4 of PRh-Ect,11,16086
16091,PRh-Ect-5,layer 5 of PRh-Ect,11,16086
16092,PRh-Ect-6,layer 6 of PRh-Ect,11,16086
16093,RSCx,retrosplenial cortex,8,16001
16094,RSC-1,layer 1 of RSC,11,16093
16095,RSC-2,layer 2 of RSC,11,16093
